               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078981,              0.0326,            0.026293,             0.34951,             0.57758,             0.39793,             0.19149,            0.044011,            0.012951,            0.014941,            0.070234,           0.0033073,           0.0033073
                   1,             0.05178,            0.025368,            0.022463,             0.33799,             0.58511,             0.34148,             0.16084,            0.043077,            0.009769,            0.016731,            0.039906,           0.0063119,           0.0063119
                   2,            0.046118,            0.023748,             0.02146,             0.36359,             0.64586,             0.45667,             0.18727,            0.043631,           0.0084654,            0.014212,            0.009247,           0.0089865,           0.0089865
                   3,            0.043513,            0.022529,            0.019606,             0.65577,             0.69418,             0.71632,             0.39919,            0.034628,             0.00821,            0.010893,            0.008515,            0.008515,            0.008515
                   4,            0.039981,             0.02248,            0.016817,             0.78106,             0.64391,             0.76964,             0.44278,             0.03396,           0.0080082,            0.011841,            0.008515,            0.008515,            0.008515
                   5,            0.038038,            0.021354,            0.014826,             0.78362,             0.67839,             0.76774,             0.46657,            0.029202,           0.0080265,           0.0094314,             0.00802,             0.00802,             0.00802
                   6,            0.036178,            0.021634,             0.01416,             0.66334,             0.67976,             0.67487,              0.4026,            0.030839,           0.0084386,            0.019806,            0.007525,            0.007525,            0.007525
                   7,            0.035253,            0.020983,            0.013369,             0.78742,             0.73824,             0.77939,             0.51417,            0.027599,           0.0075807,           0.0088374,             0.00703,             0.00703,             0.00703
                   8,            0.034163,            0.021005,            0.012399,             0.81353,             0.72938,             0.79313,             0.50789,             0.02914,           0.0077961,           0.0078092,            0.006535,            0.006535,            0.006535
                   9,            0.033621,            0.020806,            0.012063,              0.8241,             0.75066,             0.83477,              0.5609,            0.026986,           0.0074652,           0.0086777,             0.00604,             0.00604,             0.00604
                  10,            0.032472,            0.019907,             0.01186,             0.84366,             0.70129,              0.7959,             0.51299,            0.025304,           0.0075945,           0.0080618,            0.005545,            0.005545,            0.005545
                  11,            0.031247,            0.019218,            0.010259,             0.81251,              0.7576,             0.85718,             0.59848,            0.024976,            0.006984,           0.0072987,             0.00505,             0.00505,             0.00505
                  12,            0.029345,            0.018372,            0.010031,             0.81156,             0.78061,             0.81696,             0.56693,            0.024123,           0.0070666,            0.012433,            0.004555,            0.004555,            0.004555
                  13,             0.02975,            0.019092,           0.0089316,             0.79363,             0.77144,             0.83434,             0.59349,            0.025044,           0.0068941,           0.0076223,             0.00406,             0.00406,             0.00406
                  14,            0.028232,            0.018276,           0.0090847,             0.78926,             0.82747,             0.84664,             0.60516,            0.023629,           0.0066188,           0.0069416,            0.003565,            0.003565,            0.003565
                  15,            0.027935,             0.01787,           0.0087969,             0.84827,             0.78964,             0.85835,             0.60286,            0.022983,           0.0066855,           0.0062119,             0.00307,             0.00307,             0.00307
                  16,            0.026262,            0.017312,           0.0080842,             0.83451,             0.80198,             0.86835,             0.62037,            0.022767,           0.0065749,           0.0063756,            0.002575,            0.002575,            0.002575
                  17,            0.026284,            0.017396,           0.0074897,             0.77895,             0.82952,             0.85509,             0.61615,            0.022608,           0.0064688,           0.0073338,             0.00208,             0.00208,             0.00208
                  18,            0.025758,            0.016808,           0.0078282,             0.83665,             0.81925,             0.87856,             0.63468,            0.022093,           0.0065408,           0.0059297,            0.001585,            0.001585,            0.001585
                  19,            0.024857,             0.01668,           0.0072081,             0.84853,              0.8104,             0.87726,             0.65062,            0.021753,           0.0063603,           0.0066756,             0.00109,             0.00109,             0.00109
